prediction,label,fname
8.005058771232143e-05,0.0,300
0.00010547541751293465,0.0,250
0.7249236702919006,0.0,50
0.00018855153757613152,0.0,150
0.7881603240966797,1.0,50
0.9996660947799683,1.0,200
0.9988619089126587,1.0,100
0.7774840593338013,0.0,50
0.997788667678833,1.0,300
0.00030916137620806694,0.0,250
0.778741180896759,1.0,50
0.04041898995637894,0.0,50
0.9999511241912842,1.0,250
0.9998804330825806,1.0,200
0.20885875821113586,0.0,150
0.9999172687530518,1.0,200
0.997704803943634,1.0,250
0.9998729228973389,1.0,200
0.9999555349349976,1.0,250
0.999957799911499,1.0,250
0.9999269247055054,1.0,150
0.9999359846115112,1.0,250
0.022704411298036575,0.0,50
0.6407897472381592,1.0,50
0.9998589754104614,1.0,150
8.848617289913818e-05,0.0,250
0.9997854828834534,1.0,150
0.005631567444652319,0.0,50
0.05611552298069,0.0,150
0.006284533999860287,0.0,200
0.0038396536838263273,0.0,50
0.00026678264839574695,0.0,200
0.9999414682388306,1.0,250
0.18988291919231415,0.0,200
0.5714888572692871,1.0,50
0.9303088784217834,1.0,150
0.7653965353965759,1.0,50
0.9984772801399231,1.0,100
5.66641210753005e-05,0.0,200
0.0017050583846867085,0.0,50
0.0002948103647213429,0.0,300
0.0001205539665534161,0.0,250
0.00019345965120010078,0.0,250
0.521510899066925,1.0,50
0.002597302431240678,0.0,200
0.04247637093067169,0.0,150
0.9994826316833496,1.0,100
0.005540185607969761,0.0,50
0.9999277591705322,1.0,150
0.0005940934061072767,0.0,150
0.0016173189505934715,0.0,300
0.00010947945702355355,0.0,250
0.9986492991447449,1.0,100
0.9997605681419373,1.0,250
0.0923299565911293,1.0,150
0.9998418092727661,1.0,150
0.7582181096076965,1.0,50
0.12630820274353027,0.0,150
0.9989619255065918,1.0,150
0.9997581839561462,1.0,200
0.9997915625572205,1.0,200
0.9997159838676453,1.0,200
0.999889612197876,1.0,200
0.999931812286377,1.0,200
0.9999451637268066,1.0,300
0.9999028444290161,1.0,300
0.38042765855789185,0.0,50
0.08559631556272507,0.0,300
5.4568405175814405e-05,0.0,300
0.9998693466186523,1.0,250
0.826298177242279,1.0,50
0.0010441094636917114,0.0,300
7.460964116035029e-05,0.0,300
0.9560266733169556,1.0,100
0.9998795986175537,1.0,300
0.9999479055404663,1.0,300
0.001106628798879683,0.0,250
0.1651175320148468,0.0,200
0.9999254941940308,1.0,200
0.007500351406633854,0.0,50
0.00011716476728906855,0.0,200
0.9521907567977905,0.0,200
0.1625373661518097,0.0,150
0.5560355186462402,0.0,50
0.9950757622718811,1.0,100
0.4878239631652832,1.0,150
0.9993894100189209,1.0,150
0.9996627569198608,1.0,100
0.7167542576789856,0.0,300
0.9998701810836792,1.0,250
8.424005500273779e-05,0.0,300
0.9993403553962708,1.0,300
0.2681792676448822,0.0,150
0.7799109220504761,0.0,50
0.0006062311003915966,0.0,200
0.9999370574951172,1.0,250
0.9999219179153442,1.0,250
0.9999386072158813,1.0,250
6.501706957351416e-05,0.0,300
0.609764814376831,0.0,250
0.9995823502540588,1.0,150
0.99909508228302,1.0,150
0.9999512434005737,1.0,150
0.00011595770774874836,0.0,200
0.9999518394470215,1.0,200
6.138994649518281e-05,0.0,250
0.9999158382415771,1.0,250
0.001544062397442758,0.0,200
0.9999127388000488,1.0,250
0.0002117482217727229,0.0,200
0.7109913229942322,0.0,50
8.169403008650988e-05,0.0,300
0.009454353712499142,0.0,50
0.9994708895683289,1.0,250
0.9996576309204102,1.0,100
0.9999480247497559,1.0,250
